second,bucket,sessions
1970/01/01 06:36:30,tcp-syn,1
1970/01/01 06:36:38,icmp,1
1970/01/01 06:36:45,tcp-syn,1
1970/01/01 06:36:50,tcp-syn,1
1970/01/01 06:36:54,tcp-syn,2
1970/01/01 06:36:59,tcp-syn,2
1970/01/01 06:37:06,tcp-syn,1
1970/01/01 06:37:11,udp,1
1970/01/01 06:37:12,udp,6
1970/01/01 06:37:22,tcp-syn,1
1970/01/01 06:37:25,tcp-syn,2
1970/01/01 06:37:32,tcp-syn,1
1970/01/01 06:37:47,tcp-syn,2
1970/01/01 06:37:48,tcp-syn,2
1970/01/01 06:37:56,tcp-syn,1
1970/01/01 06:37:59,tcp-syn,1
1970/01/01 06:38:00,tcp-syn,1
1970/01/01 06:38:04,tcp-syn,2
1970/01/01 06:38:05,tcp-syn,1
1970/01/01 06:38:12,tcp-syn,2
1970/01/01 06:38:13,tcp-syn,2
1970/01/01 06:38:14,tcp-syn,2
1970/01/01 06:38:16,tcp-syn,1
1970/01/01 06:38:20,tcp-syn,2
1970/01/01 06:38:27,tcp-syn,1
1970/01/01 06:38:33,tcp-syn,2
1970/01/01 06:38:44,tcp-syn,1
1970/01/01 06:38:47,tcp-syn,1
1970/01/01 06:38:55,tcp-syn,2
1970/01/01 06:39:08,tcp-syn,2
1970/01/01 06:39:09,udp,2
1970/01/01 06:39:11,tcp-syn,1
1970/01/01 06:39:16,tcp-syn,1
1970/01/01 06:39:18,udp,1
1970/01/01 06:39:21,tcp-syn,2
1970/01/01 06:39:27,tcp-syn,2
1970/01/01 06:39:32,udp,1
1970/01/01 06:39:49,udp,1
1970/01/01 06:39:51,tcp-syn,2
1970/01/01 06:39:52,tcp-syn,2
1970/01/01 06:39:54,udp,1
1970/01/01 06:40:14,tcp-syn,2
1970/01/01 06:40:22,tcp-syn,5
1970/01/01 06:40:23,tcp-syn,2
1970/01/01 06:40:26,tcp-syn,2
1970/01/01 06:40:28,tcp-syn,2
1970/01/01 06:40:36,tcp-syn,1
1970/01/01 06:40:37,tcp-syn,1
1970/01/01 06:40:40,tcp-syn,1
1970/01/01 06:40:56,tcp-syn,1
1970/01/01 06:40:57,tcp-syn,1
1970/01/01 06:40:58,tcp-syn,1
1970/01/01 06:41:01,tcp-syn,2
1970/01/01 06:41:24,tcp-syn,1
1970/01/01 06:41:54,tcp-syn,1
1970/01/01 06:41:56,tcp-syn,2
1970/01/01 06:42:07,tcp-syn,2
1970/01/01 06:42:12,tcp-syn,1
1970/01/01 06:42:33,tcp-syn,1
1970/01/01 06:42:34,tcp-syn,1
1970/01/01 06:42:34,other-ip,1
1970/01/01 06:42:35,tcp-syn,2
1970/01/01 06:42:43,tcp-syn,1
1970/01/01 06:42:51,tcp-syn,2
1970/01/01 06:42:55,tcp-syn,5
1970/01/01 06:42:57,tcp-syn,1
1970/01/01 06:43:01,udp,1
1970/01/01 06:43:10,tcp-syn,1
1970/01/01 06:43:14,tcp-syn,1
1970/01/01 06:43:17,tcp-syn,2
1970/01/01 06:43:18,tcp-syn,1
1970/01/01 06:43:21,tcp-syn,2
1970/01/01 06:43:23,tcp-syn,2
1970/01/01 06:43:28,tcp-syn,2
1970/01/01 06:43:34,tcp-syn,1
1970/01/01 06:43:36,tcp-syn,3
1970/01/01 06:43:39,tcp-syn,2
1970/01/01 06:43:43,tcp-syn,1
